year,percent,outbreak_start
1751,0,0
1752,0,0
1753,0,0
1754,0,0
1755,0,0
1756,0,0
1757,0,0
1758,0,0
1759,0,0
1760,0,0
1761,0,0
1762,0,0
1763,0,0
1764,0,0
1765,0,0
1766,0,0
1767,0,0
1768,0,0
1769,0,0
1770,0,0
1771,0,0
1772,0,0
1773,0,0
1774,33.333,1
1775,33.333,1
1776,33.333,1
1777,33.333,1
1778,33.333,1
1779,33.333,1
1780,33.333,1
1781,33.333,1
1782,0,0
1783,0,0
1784,0,0
1785,0,0
1786,0,0
1787,0,0
1788,0,0
1789,0,0
1790,0,0
1791,0,0
1792,0,0
1793,0,0
1794,0,0
1795,0,0
1796,0,0
1797,0,0
1798,0,0
1799,0,0
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,10,1
1820,10,1
1821,10,1
1822,10,1
1823,10,1
1824,18.182,1
1825,27.273,1
1826,27.273,1
1827,27.273,1
1828,27.273,1
1829,27.273,1
1830,18.182,1
1831,18.182,1
1832,45.455,1
1833,72.727,1
1834,72.727,1
1835,100,1
1836,90.909,1
1837,90.909,1
1838,100,1
1839,100,1
1840,100,1
1841,100,1
1842,100,1
1843,100,1
1844,100,1
1845,83.333,1
1846,75,1
1847,50,1
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1879,0,0
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,6.25,1
1892,6.25,1
1893,12.5,1
1894,12.5,1
1895,18.75,1
1896,25,1
1897,23.529,1
1898,23.529,1
1899,29.412,1
1900,35.294,1
1901,35.294,1
1902,35.294,1
1903,58.824,1
1904,58.824,1
1905,94.118,1
1906,94.118,1
1907,88.889,1
1908,88.889,1
1909,77.778,1
1910,77.778,1
1911,77.778,1
1912,83.333,1
1913,89.474,1
1914,89.474,1
1915,89.474,1
1916,89.474,1
1917,89.474,1
1918,89.474,1
1919,84.211,1
1920,63.158,1
1921,63.158,1
1922,15.789,1
1923,15.789,1
1924,21.053,1
1925,15.789,1
1926,5.263,1
1927,5.263,1
1928,5.263,1
1929,5.263,1
1930,5.263,1
1931,10.526,1
1932,10.526,1
1933,5.263,1
1934,5.263,1
1935,10.526,1
1936,10.526,1
1937,15.789,1
1938,15.789,1
1939,15.789,1
1940,15.789,1
1941,15.789,1
1942,15.789,1
1943,5.263,1
1944,5.263,1
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,0,0
1955,0,0
1956,0,0
1957,0,0
1958,0,0
1959,0,0
1960,0,0
1961,0,0
1962,0,0
1963,0,0
1964,0,0
1965,0,0
1966,0,0
1967,0,0
1968,0,0
1969,0,0
1970,0,0
1971,0,0
1972,0,0
1973,0,0
1974,36.842,1
1975,52.632,1
1976,57.895,1
1977,73.684,1
1978,73.684,1
1979,73.684,1
1980,73.684,1
1981,73.684,1
1982,89.474,1
1983,89.474,1
1984,73.684,1
1985,68.421,1
1986,63.158,1
1987,68.421,1
1988,94.737,1
1989,100,1
1990,100,1
1991,100,1
1992,84.211,1
1993,84.211,1
1994,78.947,1
1995,78.947,1
1996,68.421,1
1997,47.368,1
1998,15.789,1
1999,10.526,1
2000,5.263,1
2001,10.526,1
2002,10.526,1
2003,10.526,1
2004,10.526,1
2005,10.526,1
2006,5.263,1
2007,5.263,1
2008,5.263,1
2009,5.263,1
2010,5.263,1
2011,26.316,1
2012,21.053,1
2013,26.316,1
2014,26.316,1
2015,26.316,1
2016,73.684,1
2017,89.474,1
