year,chron,pdsi.july,ppt.jja,tmax.june,tmax.lsum,stream.yel,swe.yel
1751,1.032,,,,1.18,115.2886186,50.019
1752,1.155,,,,-0.36,100.4121892,71.112
1753,1.113,,,,0.28,85.26807048,62.525
1754,0.859,,,,0.65,88.26457523,77.747
1755,1.164,,,,-1.48,81.24309047,33.939
1756,0.89,,,,1.59,41.28444357,23.218
1757,0.845,,,,0.92,86.4542675,58.922
1758,0.758,,,,-0.39,91.99970516,46.792
1759,0.684,,,,0.65,69.9497933,29.753
1760,0.728,,,,-0.2,89.08127729,39.97
1761,0.973,,,,-0.07,142.1629528,45.328
1762,0.937,,,,0.69,99.26278033,41.775
1763,1.074,,,,-1.44,91.99970516,54.584
1764,1.046,,,,-0.72,122.6835786,45.918
1765,1.024,,,,0.36,75.82046359,45.214
1766,0.973,,,,0.1,159.5094566,68.028
1767,1.442,,,,-0.72,185.2620373,62.626
1768,1.266,,,,-0.03,150.9337754,39.134
1769,1.116,,,,-0.64,110.6079735,64.63
1770,0.962,,,,0.53,74.78016783,50.235
1771,0.964,,,,0.21,114.2316462,45.174
1772,1.164,,,,0.39,86.65356517,56.532
1773,1.266,,,,1.31,103.940891,33.479
1774,0.865,,,,1.08,91.57700491,40.819
1775,1.033,,,,-0.57,163.2249091,86.926
1776,1.023,,,,1.29,126.1207183,23.231
1777,1.003,,,,-0.34,86.4542675,32.242
1778,1.049,,,,0.79,92.4243565,58.527
1779,0.875,,,,-1.82,110.6079735,76.294
1780,0.741,,,,-0.17,101.8090618,37.874
1781,0.89,,,,-1.19,82.37329444,86.553
1782,0.846,,,,-0.69,53.92453832,46.72
1783,0.987,,,,0.15,68.04346724,50.854
1784,0.987,,,,0.63,104.6613749,54.261
1785,0.739,,,,-0.13,92.63741665,62.416
1786,0.897,,,,0.61,105.6297947,43.977
1787,1.06,,,,-2.51,122.1198987,60.584
1788,1.068,,,,0.52,94.79521928,25.89
1789,1.168,,,,-0.71,145.1397717,65.644
1790,1.046,,,,0,127.2876989,60.209
1791,1.235,,,,-0.73,122.1198987,43.535
1792,1.104,,,,0.07,154.0942508,21.124
1793,0.943,,,,0.4,69.6284032,59.316
1794,0.768,,,,1.56,74.43658417,31.269
1795,0.776,,,,1.33,50.09408352,45.213
1796,1.085,,,,0.43,122.4014142,52.337
1797,1.329,,,,-1,104.6613749,63.89
1798,0.979,,,,0.38,64.23717531,40.519
1799,0.997,,,,0.77,141.8359871,52.064
1800,0.812,,,,1.14,40.62435096,41.202
1801,0.924,,,,-0.55,113.1843642,63.488
1802,0.938,,,,1.68,120.4443509,31.207
1803,0.907,,,,-0.12,106.6071751,61.883
1804,0.888,,,,0.31,77.9446723,47.416
1805,0.718,,,,0.15,102.043756,53.754
1806,0.673,,,,-0.13,71.5791333,94.749
1807,0.744,,,,0.19,73.75414546,48.156
1808,0.87,,,,0.89,74.60817822,49.391
1809,1.057,,,,-1.21,106.1173596,79.847
1810,1.026,,,,-1.69,162.4749588,76.066
1811,1.181,,,,-0.76,163.6011814,57.607
1812,1.121,,,,0.59,90.11278986,41.056
1813,1.067,,,,-0.41,98.35273369,58.175
1814,1.185,,,,0.27,63.7949697,43.111
1815,1.145,,,,-0.75,110.6079735,60.78
1816,1.075,,,,0.75,86.25542821,35.14
1817,1.085,,,,0.64,96.33551769,44.69
1818,1.122,,,,0.39,82.5631845,66.079
1819,0.99,,,,-0.1,105.6297947,58.632
1820,0.92,,,,-0.46,138.6074059,47.939
1821,1.017,,,,0.48,126.4114566,52.955
1822,0.985,,,,-0.83,62.77495868,52.847
1823,0.822,,,,0.32,97.67567823,37.461
1824,1.026,,,,0.03,77.9446723,75.724
1825,1.047,,,,0.45,99.72095651,47.888
1826,0.99,,,,-0.12,132.6741871,52.614
1827,1.089,,,,0.74,126.7028651,38.949
1828,1.141,,,,-0.96,165.4955938,43.364
1829,1.196,,,,0.66,92.63741665,44.892
1830,1.084,,,,0.51,88.46804609,60.962
1831,1.136,,,,1.11,86.65356517,44.332
1832,0.955,,,,0,167.7978669,86.608
1833,1.06,,,,0.33,108.0902286,38.382
1834,0.985,,,,0.14,66.03686316,42.602
1835,0.808,,,,-2.13,137.02078,55.581
1836,0.897,,,,0.56,108.3394024,67.832
1837,1.036,,,,-1.03,174.4963855,62.838
1838,1.108,,,,-2.61,163.2249091,85.13
1839,0.962,,,,-0.87,123.5339805,12.283
1840,0.8,,,,-0.47,100.6436632,61.724
1841,0.71,,,,0.06,96.33551769,45.145
1842,0.862,,,,0.3,66.64789473,69.948
1843,0.97,,,,0.12,141.18431,31.52
1844,1.162,,,,-1.55,87.45536074,61.594
1845,1.195,,,,-1.29,66.95552744,75.962
1846,0.926,,,,0.36,60.36517104,49.259
1847,0.94,,,,-0.22,105.1444698,68.996
1848,0.913,,,,-1.47,79.39377195,42.184
1849,1.11,,,,-0.76,172.4989419,51.739
1850,1.193,,,,-0.18,100.6436632,47.371
1851,0.962,,,,-1.06,89.6987592,49.781
1852,0.919,,,,0.32,93.92613149,44.415
1853,1.097,,,,0.08,200.8105083,61.028
1854,1.433,,,,0.55,162.8495023,44.911
1855,1.298,,,,0.37,55.05369031,59.833
1856,0.782,,,,1.47,72.57489823,56.402
1857,0.862,,,,0.85,85.07195936,56.485
1858,0.719,,,,-0.93,92.4243565,59.371
1859,0.764,,,,-0.17,89.9055362,44.814
1860,0.738,,,,-0.93,112.9240474,52.219
1861,0.584,,,,0.77,86.05704623,65.806
1862,0.621,,,,-0.1,105.1444698,60.549
1863,0.583,,,,1.29,60.226335,42.636
1864,0.525,,,,0.57,74.26538478,64.287
1865,0.654,,,,-0.13,83.32713224,52.103
1866,0.921,,,,-1.48,186.9762458,43.984
