year,chron,tmean.aug,tmin.aug,tmin.may,tmax.aug,ppt.aug,pdsi.oct,tmean.mjja,ppt.jja,pdsi.aso,tmin.mjja,tmax.mjja
1629,0.973,,,,,,,,,,,
1630,0.968,,,,,,,,,,,
1631,1.016,,,,,,,,,,,
1632,1.015,,,,,,,,,,,
1633,1.003,,,,,,,,,,,
1634,1.04,,,,,,,,,,,
1635,0.99,,,,,,,,,,,
1636,1.047,,,,,,,,,,,
1637,1.008,,,,,,,,,,,
1638,1,,,,,,,,,,,
1639,1.017,,,,,,,,,,,
1640,0.979,,,,,,,,,,,
1641,0.94,,,,,,,,,,,
1642,0.956,,,,,,,,,,,
1643,0.983,,,,,,,,,,,
1644,0.97,,,,,,,,,,,
1645,1.066,,,,,,,,,,,
1646,1.013,,,,,,,,,,,
1647,1.009,,,,,,,,,,,
1648,0.985,,,,,,,,,,,
1649,1.009,,,,,,,,,,,
1650,0.994,,,,,,,,,,,
1651,1.038,,,,,,,,,,,
1652,1.088,,,,,,,,,,,
1653,0.975,,,,,,,,,,,
1654,0.982,,,,,,,,,,,
1655,0.989,,,,,,,,,,,
1656,1.004,,,,,,,,,,,
1657,1.02,,,,,,,,,,,
1658,1.065,,,,,,,,,,,
1659,1.039,,,,,,,,,,,
1660,0.954,,,,,,,,,,,
1661,1.023,,,,,,,,,,,
1662,0.96,,,,,,,,,,,
1663,1.02,,,,,,,,,,,
1664,1.038,,,,,,,,,,,
1665,0.96,,,,,,,,,,,
1666,0.983,,,,,,,,,,,
1667,0.988,,,,,,,,,,,
1668,1.014,,,,,,,,,,,
1669,0.97,,,,,,,,,,,
1670,0.999,,,,,,,,,,,
1671,1.029,,,,,,,,,,,
1672,1.02,,,,,,,,,,,
1673,0.963,,,,,,,,,,,
1674,0.998,,,,,,,,,,,
1675,1.001,,,,,,,,,,,
1676,0.981,,,,,,,,,,,
1677,0.948,,,,,,,,,,,
1678,0.978,,,,,,,,,,,
1679,0.95,,,,,,,,,,,
1680,0.969,,,,,,,,,,,
1681,1.013,,,,,,,,,,,
1682,0.955,,,,,,,,,,,
1683,1.003,,,,,,,,,,,
1684,1.01,,,,,,,,,,,
1685,0.968,,,,,,,,,,,
1686,1.032,,,,,,,,,,,
1687,1.048,,,,,,,,,,,
1688,1.027,,,,,,,,,,,
1689,1.031,,,,,,,,,,,
1690,1.041,,,,,,,,,,,
1691,1.002,,,,,,,,,,,
1692,1.019,,,,,,,,,,,
1693,1,,,,,,,,,,,
1694,0.995,,,,,,,,,,,
1695,0.957,,,,,,,,,,,
1696,1.012,,,,,,,,,,,
1697,1.037,,,,,,,,,,,
1698,0.878,,,,,,,,,,,
1699,0.95,,,,,,,,,,,
1700,0.966,,,,,,,,,,,
1701,0.981,,,,,,,,,,,
1702,0.935,,,,,,,,,,,
1703,0.992,,,,,,,,,,,
1704,0.993,,,,,,,,,,,
1705,1.018,,,,,,,,,,,
1706,1.068,,,,,,,,,,,
1707,1.032,,,,,,,,,,,
1708,0.998,,,,,,,,,,,
1709,1.002,,,,,,,,,,,
1710,1.018,,,,,,,,,,,
1711,1.042,,,,,,,,,,,
1712,1.057,,,,,,,,,,,
1713,1.015,,,,,,,,,,,
1714,0.988,,,,,,,,,,,
1715,1.015,,,,,,,,,,,
1716,1.011,,,,,,,,,,,
1717,1.036,,,,,,,,,,,
1718,1.017,,,,,,,,,,,
1719,1.012,,,,,,,,,,,
1720,1.01,,,,,,,,,,,
1721,1.023,,,,,,,,,,,
1722,1.037,,,,,,,,,,,
1723,0.963,,,,,,,,,,,
1724,1.05,,,,,,,,,,,
1725,0.89,,,,,,,,,,,
1726,0.992,,,,,,,,,,,
1727,0.905,,,,,,,,,,,
1728,0.993,,,,,,,,,,,
1729,0.992,,,,,,,,,,,
1730,1.022,,,,,,,,,,,
1731,1.018,,,,,,,,,,,
1732,1.014,,,,,,,,,,,
1733,0.972,,,,,,,,,,,
1734,1,,,,,,,,,,,
1735,1.026,,,,,,,,,,,
1736,0.965,,,,,,,,,,,
1737,1.018,,,,,,,,,,,
1738,0.982,,,,,,,,,,,
1739,1.03,,,,,,,,,,,
1740,0.97,,,,,,,,,,,
1741,0.987,,,,,,,,,,,
1742,1.021,,,,,,,,,,,
1743,1.021,,,,,,,,,,,
1744,1.036,,,,,,,,,,,
1745,0.996,,,,,,,,,,,
1746,0.98,,,,,,,,,,,
1747,0.97,,,,,,,,,,,
1748,0.98,,,,,,,,,,,
1749,0.957,,,,,,,,,,,
1750,0.938,,,,,,,,,,,
1751,1.037,,,,,,,,,,,
1752,0.99,,,,,,,,,,,
1753,1.011,,,,,,,,,,,
1754,1.015,,,,,,,,,,,
1755,0.951,,,,,,,,,,,
1756,1.059,,,,,,,,,,,
1757,1.037,,,,,,,,,,,
1758,0.992,,,,,,,,,,,
