year,chron,stream.yel,swe.yel,tmax.lsum
1629,1.217,84.68108922,61.335,-0.36
1630,1.227,68.04346724,66.669,0.58
1631,1.101,57.25144276,55.846,1.29
1632,0.751,32.86899577,70.925,1.25
1633,1.345,217.1633015,38.082,-0.09
1634,1.195,105.3868529,40.198,1.25
1635,1.027,68.99004616,56.969,1.18
1636,1.27,92.21178638,32.193,0.51
1637,0.891,70.59703077,72.094,-0.24
1638,1.558,88.671986,37.027,0.28
1639,1.345,65.58226859,51.246,0.95
1640,1.395,165.8771006,47.342,0.24
1641,0.67,148.1789236,86.368,-2.04
1642,0.85,122.6835786,57.801,-0.58
1643,1.419,97.90084392,50.767,-0.32
1644,1.164,83.32713224,54.149,-0.66
1645,1.574,55.691182,50.576,0.84
1646,1.517,44.64639893,55.786,0.77
1647,1.917,98.57946016,45.492,1.85
1648,1.579,75.64608137,61.46,-0.24
1649,1.647,75.64608137,41.636,1.4
1650,1.344,132.369045,58.583,1.33
1651,1.538,104.4206604,38.841,1.18
1652,1.87,62.3428189,42.849,1.59
1653,1.066,72.74220065,43.657,0.51
1654,1.328,123.8187558,62.496,0.62
1655,1.339,105.6297947,49.577,0.13
1656,1.65,79.02899071,48.22,0.58
1657,1.59,45.16337987,58.142,0.73
1658,1.501,74.78016783,53.684,0.88
1659,1.434,64.83155457,36.737,0.43
1660,1.308,89.08127729,52.253,-1.55
1661,1.22,94.79521928,41.913,0.69
1662,1.174,103.7018336,57.18,-0.92
1663,0.908,91.78811171,90.536,-1.1
1664,1.045,105.3868529,51.421,-0.43
1665,1.049,82.94427884,56.167,-1.18
1666,1.127,144.1406365,51.708,-0.43
1667,0.947,69.30848974,69.604,-0.13
1668,1.539,105.3868529,51.063,-0.32
1669,1.156,94.14265358,67.806,-1.89
1670,0.958,101.1082132,53.616,0.24
1671,1.032,70.43466211,59.613,-0.13
1672,1.253,126.1207183,70.574,-0.24
1673,1.01,120.7220038,53.241,-1.03
1674,1.119,138.6074059,63.365,-0.92
1675,1.22,121.2792313,41.175,0.69
1676,1.045,217.1633015,48.908,-1.14
1677,0.788,95.45230835,46.404,0.88
1678,0.837,71.90952757,52.728,-0.54
1679,0.92,97.00328359,55.847,0.51
1680,0.7,149.2060508,57.174,1.07
1681,0.767,74.43658417,69.544,0.8
1682,0.953,107.5935992,56.397,0.17
1683,0.91,138.926929,50.43,-0.13
1684,0.904,136.705641,44.226,0.73
1685,0.968,92.4243565,51.842,-0.54
1686,1.085,71.74414024,61.418,-0.28
1687,0.98,165.8771006,52.272,0.09
1688,1.039,119.6152178,63.225,-0.92
1689,1.297,95.89289619,31.669,0.99
1690,1.031,82.5631845,52.079,0.99
1691,0.793,132.0646046,59.364,0.51
1692,0.678,158.7765772,63.678,-0.73
1693,0.668,105.1444698,70.805,-0.06
1694,0.68,147.8381215,46.615,-0.36
1695,0.857,53.30726923,56.005,-0.88
1696,0.822,93.92613149,69.745,0.62
1697,0.876,96.11395214,60.215,-0.28
1698,0.958,90.73742188,61.643,-2.75
1699,0.8,135.4523161,67.037,-0.73
1700,0.736,171.7063813,61.069,-0.39
1701,0.745,132.6741871,43.273,-0.32
1702,0.605,139.8899244,65.172,-1.33
1703,0.69,64.38525729,67.464,-0.73
1704,0.579,63.06471472,63.64,-1.37
1705,0.732,124.6770264,53.201,-0.58
1706,0.635,79.94410329,56.374,-0.51
1707,0.614,83.32713224,67.139,-0.77
1708,0.63,57.78118383,76.208,-0.73
1709,0.998,106.1173596,52.004,-0.09
1710,1.009,70.43466211,56.349,0.65
1711,0.831,80.68381697,66.183,0.35
1712,0.806,73.2464255,36.959,0.09
1713,0.838,102.2789911,63.684,-0.13
1714,0.776,109.5939135,51.746,-0.92
1715,0.744,97.45103041,58.657,-0.54
1716,0.796,107.3461407,47.479,-0.51
1717,0.951,58.58500017,58.984,0.62
1718,0.794,65.73345134,53.327,0.99
1719,0.799,115.2886186,58.736,0.47
1720,0.609,139.5681865,47.972,0.69
1721,0.678,44.74931951,58.654,1.59
1722,0.655,84.29201495,57.78,1.14
1723,0.641,134.8299693,56.694,0.13
1724,0.879,101.3412917,42.233,1.48
1725,0.803,117.4319941,90.642,-2.64
1726,0.889,194.8885999,68.386,0.13
1727,0.81,173.6946475,89.688,-2.79
1728,0.78,140.859595,43.844,0.77
1729,0.842,51.37909326,33.161,1.33
1730,0.735,118.5185789,43.792,0.73
1731,1.017,105.3868529,49.772,0.39
1732,0.813,95.45230835,51.266,0.39
1733,0.715,175.3018242,46.781,-0.73
